a	b	c	IP	FU000385	FU000387	FU000389	FU000391	FU000393	FU000395	FU000397	FU000399	FU000401	FU000403	FU000405	FU000407	FU000409	FU000411	FU000413	FU000415	FU000417	FU000419	FU000423	FU000425	FU000427	FU000429	FU000431	FU000433	FU000435	FU000437	FU000439	FU000441	FU000443	FU000445	FU000447	FU000449	FU000451	FU000453	FU000455	FU000457
P08238	1	724	N	5	1	2	0	1	1	0	1	5	3	1	0	0	2	6	2	1	0	2	0	0	0	0	0	1	1	2	0	1	1	1	8	0	1	3	2
P08579	1	225	N	0	0	0	0	2	2	0	4	1	0	1	0	0	0	3	0	1	1	4	4	0	0	0	0	0	3	2	0	3	3	0	1	3	1	3	0
P08621	1	437	N	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	1	2	0	2	0	0	2	1	2	0	0
P08708	1	135	N	3	1	1	2	20	18	11	11	3	4	1	3	1	2	9	6	11	13	11	16	3	5	4	3	2	19	9	2	9	9	2	4	17	9	15	6
P08865	1	295	N	7	12	9	8	14	17	8	8	8	8	11	9	8	10	6	7	7	8	13	17	7	5	10	8	5	11	5	4	4	9	5	5	10	5	6	8
P09234	1	159	N	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	1	0	1	0	2	0	0	0	0	0	2	0	0	0	2	0	0	1	0	2	0
P09429	1	215	N	6	5	4	4	14	9	6	4	16	10	6	12	5	10	39	12	3	11	14	30	5	7	15	18	16	12	39	10	43	9	14	22	10	37	8	27
P09622	1	509	N	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
P09651	1	372	N	0	2	2	1	7	7	6	4	2	1	2	2	1	2	2	0	5	6	5	5	1	0	1	1	2	7	1	0	2	6	0	2	6	1	6	2
P09661	1	255	N	0	0	0	0	2	4	2	2	0	0	0	0	0	0	0	0	1	3	3	4	0	0	0	0	0	2	0	0	2	3	0	0	4	0	3	0
P09769	1	529	N	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P09874	1	1014	N	13	14	11	17	32	20	31	36	45	18	17	22	9	16	84	35	25	34	25	53	4	19	25	37	31	27	90	22	140	39	20	47	30	100	42	49
P0DPB5	1	122	N	2	1	1	2	2	2	2	2	2	1	0	1	1	2	3	2	1	2	2	3	0	1	2	1	1	1	3	0	4	0	1	1	2	2	1	1
P0DPB6	1	133	N	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P10321	1	366	N	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P10412	1	219	N	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	1	0
P10599	1	105	N	34	33	31	29	28	22	21	22	22	26	27	24	25	20	18	18	18	20	15	16	16	22	23	22	25	17	23	23	20	17	24	21	22	23	17	18
P10809	1	573	N	17	18	14	17	19	20	16	17	24	22	16	17	15	15	18	16	9	8	13	16	9	12	12	12	16	17	14	13	12	17	16	21	14	13	13	16
P11021	1	654	N	16	17	27	24	32	35	30	25	33	31	24	27	26	25	29	30	27	27	24	25	9	14	15	14	19	25	21	18	17	25	17	30	27	17	25	19
P11142	1	646	N	20	25	42	45	50	49	40	39	37	36	33	26	25	29	35	34	42	34	46	33	32	39	27	28	28	43	25	40	26	40	30	31	44	23	36	44
P11172	1	480	N	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
P11387	1	765	N	10	7	9	8	21	13	13	16	9	7	6	7	7	6	7	7	9	12	11	16	8	6	5	6	6	9	10	9	20	14	7	8	16	13	11	6
P11498	1	1178	N	174	181	170	161	152	162	154	162	179	169	178	190	125	106	109	101	96	112	98	101	80	99	103	111	163	151	135	146	148	155	165	153	151	136	151	168
P11586	1	935	N	7	17	16	11	3	9	6	2	16	14	17	19	7	15	10	10	1	1	6	2	4	6	7	9	16	2	5	9	4	4	11	13	1	4	0	9
P11940	1	636	N	0	0	0	0	9	7	8	8	0	0	0	0	0	0	0	0	8	14	7	8	0	0	0	0	0	6	0	0	0	7	0	0	8	0	8	0
P12236	1	298	N	0	0	2	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0
P12277	1	381	N	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	2	1
P12956	1	609	N	0	0	0	0	5	4	4	3	0	0	0	0	0	0	0	0	5	2	3	2	0	0	0	0	0	4	0	0	0	5	0	0	3	0	4	0
P13010	1	732	N	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	3	0	0	2	0	2	0
P13639	1	858	N	12	8	9	21	11	9	11	12	17	16	15	16	11	8	13	10	7	8	8	9	8	10	13	8	15	10	9	9	7	7	8	11	11	8	9	8
P13667	1	645	N	0	1	2	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0
P13797	1	630	N	4	2	4	3	3	3	2	2	5	1	3	4	3	2	2	0	2	2	0	0	2	2	2	2	3	2	2	6	1	3	4	1	1	1	1	2
P13984	1	249	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	2	0	0
P13995	1	350	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
P14174	1	115	N	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	0	1	0	1	1	2	2	1	2	1	1	1	2	0	2	1	2
P14314	1	528	N	0	0	0	0	0	0	0	0	9	5	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	0	0	0	0
P14618	1	531	N	11	8	11	8	3	1	3	1	5	8	4	5	3	6	0	3	0	2	1	0	2	5	5	2	6	1	5	4	6	2	4	7	2	8	4	4
P14621	1	99	N	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
P14866	1	589	N	0	0	0	0	15	14	20	24	0	0	0	0	1	0	0	0	22	23	19	14	0	0	0	0	0	15	0	0	0	31	0	0	14	0	20	1
P14868	1	501	N	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0
P15170	1	499	N	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1
P15531	1	152	N	5	4	4	6	1	2	2	0	7	5	4	3	3	3	4	5	1	2	1	1	3	3	3	3	3	2	5	3	3	1	4	5	1	0	0	5
P15880	1	293	N	11	7	12	12	37	36	34	33	10	13	12	8	9	11	11	8	28	32	35	36	9	8	7	9	8	31	7	8	9	36	10	10	30	6	33	6
P15924	1	2871	N	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P16118	1	471	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
P16152	1	277	N	10	14	12	9	10	9	7	11	11	13	14	14	9	10	13	9	8	7	6	9	5	9	15	10	11	10	9	10	11	10	9	10	10	10	7	10
P16402	1	221	N	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0
P16403	1	213	N	0	0	0	0	8	7	5	6	0	1	0	0	0	1	0	0	9	5	6	5	0	0	0	1	1	7	0	0	0	9	0	0	10	0	9	1
P16615	1	1042	N	0	0	0	0	0	0	0	0	5	5	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	8	1	0	0	0
P16989	1	372	N	0	0	0	0	10	11	7	5	0	0	0	0	0	0	0	0	8	6	10	8	0	0	0	0	0	10	0	0	0	10	0	0	8	0	7	0
P17026	1	224	N	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	3	0	0	0	3	0	0	2	0	4	0
P17096	1	107	N	2	3	6	7	4	1	2	3	7	5	5	4	6	5	8	4	0	4	4	8	3	5	4	7	4	2	9	4	12	0	5	7	2	13	2	4
P17480	1	764	N	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0
P17812	1	591	N	7	6	10	9	3	5	2	7	2	7	7	10	13	8	5	5	3	3	2	2	1	7	8	7	11	2	5	8	4	4	8	8	4	4	2	8
P17844	1	614	N	10	9	10	9	19	19	11	14	10	7	11	8	12	15	12	4	7	8	15	13	14	8	10	7	10	11	7	8	11	6	12	7	12	9	8	6
P17858	1	780	N	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
P17987	1	556	N	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
P18077	1	110	N	0	0	0	0	15	12	11	10	0	0	0	0	0	0	0	0	9	6	13	13	0	0	0	0	0	13	0	0	0	11	0	0	12	0	11	0
P18124	1	248	N	0	0	0	0	29	29	33	29	0	0	0	0	0	0	0	0	22	22	26	31	0	0	0	0	0	26	0	0	0	33	0	0	29	0	27	0
P18583	1	2426	N	0	0	0	0	3	3	1	2	0	0	0	0	0	0	0	0	1	0	3	4	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0
P18621	1	184	N	4	4	4	4	32	33	30	29	4	2	3	4	1	3	2	3	31	32	32	28	1	1	2	2	2	31	4	2	4	34	1	2	30	2	25	2
P18669	1	254	N	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	2	1	0	0	1	2
P18754	1	421	N	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
P19338	1	710	N	0	0	0	0	50	53	57	56	0	0	0	1	0	0	3	1	50	60	50	48	0	0	0	0	0	44	2	0	4	67	0	0	45	4	54	2
P19388	1	210	N	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
P20073	1	488	N	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
P20155	1	84	N	1	0	1	0	1	2	2	0	3	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	2	3	2	0	0	2	0
P20290	1	206	N	2	0	2	1	0	1	1	0	4	0	0	1	0	1	6	1	0	0	0	4	0	0	1	0	1	2	4	0	9	1	0	2	0	4	0	2
P20674	1	150	N	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
P20700	1	586	N	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0
P20719	1	270	N	0	0	0	0	0	0	2	0	0	0	0	2	1	0	1	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
P21266	1	225	N	1	0	0	1	0	0	0	0	2	0	1	2	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	1	1	0	2	1	0	0	0	2
P21741	1	143	N	1	1	0	1	4	3	0	1	2	2	1	2	2	2	3	2	1	0	2	2	0	3	1	2	3	0	0	1	2	2	1	3	1	1	2	0
P21796	1	283	N	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0
P22061	1	227	N	31	27	27	27	27	28	30	33	37	34	30	32	29	35	31	31	28	31	27	30	26	31	27	31	32	31	29	33	34	32	32	34	31	33	30	28
P22087	1	321	N	0	0	0	0	15	19	19	16	1	0	0	0	0	0	0	0	17	16	13	14	0	0	0	0	0	18	1	0	1	17	0	0	17	0	20	1
P22102	1	1010	N	4	8	9	6	5	7	6	5	9	6	6	7	6	8	6	7	4	5	5	3	4	5	6	6	7	5	4	5	5	7	7	5	5	5	5	5
P22234	1	425	N	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P22314	1	1058	N	3	0	1	4	1	1	0	1	1	2	0	2	0	1	1	0	0	0	0	0	0	1	2	0	0	0	1	1	0	1	2	0	0	0	1	0
P22626	1	353	N	0	0	1	2	6	8	6	5	0	0	0	3	0	0	1	1	5	5	6	9	0	0	1	0	3	6	1	0	1	11	0	2	10	2	9	1
P23193	1	301	N	1	1	1	0	1	0	0	0	1	0	1	1	0	0	10	1	0	0	0	3	0	0	0	0	0	0	5	0	10	0	0	0	0	6	0	1
P23246	1	707	N	2	0	0	0	3	1	2	4	2	0	1	0	0	2	3	3	2	6	3	6	2	0	3	2	1	5	2	3	1	4	3	3	7	1	5	1
P23284	1	216	N	30	34	20	27	37	25	29	23	35	30	25	32	22	24	56	39	15	27	34	59	18	27	33	40	33	29	63	20	77	20	33	42	30	64	29	41
P23396	1	243	N	16	15	19	18	35	35	26	27	13	15	17	14	8	17	15	12	28	30	36	34	14	14	12	16	12	31	12	12	11	27	10	9	35	12	27	11
P23528	1	166	N	6	6	10	8	8	8	6	8	12	7	6	9	6	5	7	7	5	5	6	10	8	9	7	8	6	6	12	10	6	6	6	6	6	9	6	9
P23588	1	611	N	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0
P23921	1	792	N	2	0	0	2	0	1	0	0	1	0	0	2	2	2	0	1	0	0	0	0	0	1	1	1	2	0	0	2	0	0	1	0	0	0	0	0
P24666	1	158	N	1	0	1	2	0	0	0	0	2	0	1	2	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	2	0	1	1	1	0	0	0	0
P24752	1	427	N	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P25205	1	808	N	6	7	7	7	5	4	1	1	3	6	6	8	5	7	8	6	4	1	1	3	3	3	7	4	3	2	3	3	6	2	6	5	1	2	1	9
P25398	1	132	N	14	15	16	14	22	27	20	18	14	14	12	13	10	8	12	10	17	20	24	25	8	16	12	13	9	21	11	8	6	21	9	9	24	7	16	8
P25705	1	553	N	3	2	7	6	4	5	0	1	12	10	1	2	2	3	12	12	0	1	2	1	1	3	0	0	0	3	10	4	1	3	2	16	5	1	3	7
P25786	1	263	N	2	3	2	2	1	1	2	1	2	1	1	2	2	0	1	2	0	2	1	3	1	0	1	1	1	0	1	1	2	2	1	1	1	2	0	2
P26038	1	577	N	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P26196	1	483	N	2	2	3	4	7	3	3	5	8	3	2	6	3	4	5	2	2	3	3	3	0	3	2	3	7	7	2	4	3	7	3	5	6	3	3	4
P26368	1	475	N	13	13	12	10	15	9	8	9	26	18	11	13	5	9	25	18	2	14	13	24	8	12	20	18	19	17	34	12	55	6	16	27	13	43	8	18
P26373	1	211	N	1	1	2	0	28	36	20	29	0	0	0	0	0	0	0	0	28	32	32	26	0	0	0	0	0	33	0	0	0	29	0	0	32	0	35	0
P26583	1	209	N	3	4	6	9	12	7	10	10	15	11	6	17	4	6	36	17	3	15	10	30	6	8	16	15	19	14	36	7	52	8	12	19	7	45	12	23
P26599	1	531	N	5	4	3	5	5	4	2	4	3	4	3	5	3	6	5	5	3	6	4	4	2	5	3	5	4	4	4	2	4	4	7	3	5	8	4	3
P26641	1	437	N	0	0	0	1	0	1	0	0	6	5	0	0	0	0	3	3	0	0	0	0	0	0	0	1	0	1	3	0	0	0	2	6	2	0	0	0
P26885	1	142	N	2	2	2	3	2	2	1	1	2	0	2	2	2	2	1	1	0	1	1	1	0	1	0	0	1	1	1	2	2	1	3	1	1	1	0	1
P27348	1	245	N	2	2	2	2	1	1	1	0	2	1	2	2	0	2	3	1	1	1	0	2	0	0	2	1	0	1	2	2	0	1	2	3	2	1	0	2
P27361	1	379	N	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
P27635	1	214	N	0	0	2	2	21	18	22	19	3	3	4	2	0	2	3	2	19	17	13	13	0	2	5	3	3	14	4	1	4	19	1	5	13	6	16	3
P27695	1	318	N	2	6	6	4	1	1	0	1	6	4	5	4	4	3	12	7	0	0	0	4	0	2	4	7	4	2	9	1	26	1	2	9	2	15	1	6
P27708	1	2225	N	0	0	1	3	0	1	0	0	4	0	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	2	2	0	0	1	6	0	0	2	0
P27816	1	1152	N	5	3	4	5	4	5	5	5	6	4	5	4	6	4	5	3	2	3	5	5	3	5	3	2	5	5	3	4	5	5	5	4	6	5	2	5
P27824	1	592	N	0	0	0	0	0	0	0	0	2	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0
P28070	1	264	N	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0
P28482	1	360	N	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
P29372	1	298	N	13	10	15	13	14	11	12	17	11	15	11	17	11	14	12	15	12	11	10	11	12	11	10	14	9	14	10	14	7	11	12	12	12	10	11	12
P29590	1	882	N	2	5	4	8	0	3	0	0	5	4	4	6	3	4	10	6	3	0	0	0	2	4	4	2	3	0	0	2	1	0	4	5	0	3	0	2
P29692	1	281	N	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
P29966	1	332	N	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30040	1	261	N	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
P30041	1	224	N	6	6	9	7	6	9	2	0	6	5	6	8	4	4	6	4	1	1	1	2	1	3	6	4	6	2	3	4	6	4	5	7	0	6	0	4
P30048	1	256	N	4	2	4	1	2	4	0	1	4	4	2	3	2	6	0	1	4	0	2	1	3	2	2	1	3	2	3	3	3	1	3	2	1	4	0	3
P30050	1	165	N	0	0	0	0	20	24	27	21	1	0	0	0	0	0	1	0	28	21	21	24	0	0	0	0	0	23	1	1	0	25	0	0	20	1	27	0
P30086	1	187	N	3	0	2	1	2	0	0	1	3	2	4	3	0	1	3	1	0	0	1	0	0	0	0	1	3	0	1	4	4	1	6	4	0	2	0	4
P30101	1	505	N	9	9	9	9	11	12	8	7	11	12	14	10	10	11	12	13	5	5	4	10	4	5	7	7	9	3	5	9	5	7	10	8	9	6	6	7
P30153	1	589	N	1	0	1	0	4	2	0	2	1	1	1	1	0	1	0	0	1	1	4	2	0	0	0	0	0	2	1	1	0	1	0	2	5	0	0	1
P30405	1	207	N	4	2	3	3	0	0	1	0	2	2	3	2	2	3	2	3	1	1	0	2	1	3	2	2	4	0	2	3	1	2	2	2	0	2	0	2
P30419	1	496	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	8	0	9	0	0	0	0	6	0	0
P30533	1	357	N	0	0	0	0	1	0	0	0	3	0	0	2	0	0	13	2	0	1	0	8	0	1	1	3	1	0	13	0	25	0	1	4	0	12	0	2
P31153	1	395	N	0	1	2	0	1	2	0	0	2	0	0	2	1	2	1	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
P31689	1	397	N	0	1	5	6	2	2	2	1	7	4	2	1	1	0	7	4	2	2	2	2	4	4	0	1	0	3	4	6	0	2	2	10	2	2	4	2
P31943	1	449	N	4	2	2	3	12	16	8	9	4	7	7	4	3	4	5	6	10	9	13	8	2	1	4	6	1	12	7	4	1	12	4	4	13	4	12	1
P31946	1	246	N	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0
P32121	1	409	N	15	17	20	17	15	15	9	12	22	17	24	17	16	16	16	17	13	13	16	11	10	14	18	10	20	13	18	20	26	9	19	14	14	18	7	17
P32322	1	319	N	0	0	0	0	3	3	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0
P32929	1	405	N	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
P32969	1	192	N	6	8	5	7	19	23	17	17	6	3	3	5	0	2	11	10	15	23	20	23	8	7	10	12	3	22	13	7	20	21	7	8	23	17	24	12
P33316	1	252	N	6	5	8	6	3	5	7	8	10	11	12	9	8	9	11	11	8	4	4	3	1	7	7	9	7	3	7	9	8	5	6	7	4	5	4	7
P33992	1	734	N	3	4	7	4	3	5	1	3	5	3	5	8	7	3	2	3	0	2	2	1	3	7	4	2	1	0	2	5	3	1	3	2	4	2	0	3
P35030	1	304	N	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	3	2	2	2	1	3	2	2	2	2	2	2	2	2	2	2	2	2
P35080	1	140	N	5	7	6	6	4	3	2	2	6	5	7	6	4	4	4	3	2	3	2	2	3	2	5	3	4	2	4	7	4	2	3	3	2	3	2	2
P35226	1	326	N	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
P35232	1	272	N	3	4	3	3	4	7	2	2	2	7	3	3	0	2	2	3	4	2	2	3	0	1	0	2	2	4	0	2	1	4	3	6	8	3	3	1
P35249	1	363	N	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P35251	1	1148	N	0	0	0	0	7	6	4	6	0	0	0	0	0	0	0	0	2	4	3	3	0	0	0	0	0	5	0	0	0	4	0	0	4	0	4	0
P35268	1	128	N	5	7	5	9	12	9	6	7	8	5	6	6	6	9	16	11	6	10	8	14	6	6	7	9	12	6	15	4	19	6	11	11	6	20	9	9
P35269	1	517	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	13	0	0	0	0	5	0	0
P35527	1	623	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
P35613	1	385	N	0	0	0	0	0	0	0	0	5	4	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0
P35637	1	526	N	0	2	0	2	3	2	4	4	2	4	3	4	3	6	8	4	3	3	1	1	5	4	5	5	3	1	3	4	3	4	5	2	2	5	0	3
P35659	1	375	N	11	11	9	10	13	10	11	16	19	13	10	13	6	13	36	16	10	13	10	21	8	5	15	12	15	11	31	12	35	7	10	16	9	34	9	10
P35754	1	106	N	0	0	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0
P36542	1	298	N	0	0	1	0	1	0	0	0	3	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P36551	1	454	N	0	0	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	5
P36578	1	427	N	0	0	0	0	53	53	58	55	1	0	0	0	0	0	0	0	54	52	45	47	0	0	0	0	0	53	0	0	0	55	0	0	60	0	60	0
P36873	1	323	N	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
P36969	1	197	N	6	8	8	9	4	7	5	3	6	5	7	8	7	6	6	6	3	4	2	5	5	2	5	5	7	4	6	6	4	4	7	5	4	4	5	7
P37108	1	136	N	0	0	0	0	8	10	3	5	1	0	0	0	0	0	3	0	6	2	3	5	0	0	0	0	0	6	7	0	7	3	0	1	11	7	9	0
P37802	1	199	N	2	3	3	4	0	4	3	1	2	2	4	5	3	3	2	2	2	3	1	3	2	2	5	2	3	2	1	4	3	3	4	2	2	4	4	2
P38159	1	391	N	0	0	0	0	2	2	2	3	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	3	0	2	0
P38432	1	576	N	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
P38646	1	679	N	28	33	37	41	34	34	32	29	38	38	41	47	40	41	44	37	28	25	28	27	28	31	31	26	29	26	37	34	32	28	33	39	35	33	25	40
P38919	1	411	N	1	1	1	1	2	2	6	6	1	0	3	2	0	1	0	2	4	5	1	3	1	0	0	0	0	4	0	0	1	9	0	0	1	1	6	1
P39019	1	145	N	3	2	2	2	20	17	10	11	5	5	3	5	3	3	11	6	9	9	18	16	3	7	7	8	6	17	6	4	6	10	3	3	17	12	11	4
P39023	1	403	N	0	0	0	0	56	51	52	55	0	0	0	0	0	0	0	0	58	59	53	49	0	0	0	0	0	45	0	0	0	62	0	0	52	0	66	0
P39748	1	380	N	0	0	0	0	1	0	0	0	2	0	0	1	0	0	14	3	0	0	0	7	0	0	0	2	2	0	13	0	23	0	0	6	0	17	0	2
P40227	1	531	N	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
P40429	1	203	N	0	0	0	0	10	11	7	7	0	0	0	0	0	0	0	0	6	8	6	8	0	0	0	0	0	7	0	0	0	8	0	0	9	0	6	0
P40616	1	181	N	0	0	0	0	0	0	0	2	3	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0
P40926	1	338	N	0	0	0	0	0	0	0	1	0	0	0	2	1	2	1	1	0	2	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0
P40937	1	340	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
P40938	1	356	N	0	0	0	0	3	5	3	3	0	0	0	0	0	0	0	0	2	2	2	6	0	0	0	0	0	3	0	0	0	3	0	0	4	0	3	0
P41223	1	144	N	3	2	2	2	4	4	2	2	6	3	5	5	0	2	11	2	0	0	1	5	0	1	3	2	3	2	8	0	19	0	1	5	2	7	0	2
